,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Aaron Rodgers,449.00,610,401,"4,428",40,7,1,67,369,4,1,0,0,0,0,4,0
Matt Ryan,412.00,534,373,"4,944",38,7,1,35,117,0,1,0,0,0,0,2,0
Drew Brees,401.00,673,471,"5,208",37,15,0,23,20,2,0,0,0,0,0,4,0
Andrew Luck,364.00,545,346,"4,240",31,13,2,64,341,2,0,0,0,0,0,5,0
Kirk Cousins,343.00,606,406,"4,917",25,12,0,34,96,4,0,0,0,0,0,3,0
Dak Prescott,321.00,459,311,"3,667",23,4,0,57,282,6,0,0,0,0,0,4,0
Philip Rivers,321.00,578,349,"4,386",33,21,0,14,35,0,0,0,0,0,0,5,0
Matthew Stafford,317.00,594,388,"4,327",24,10,1,37,207,2,0,0,0,0,0,2,0
Derek Carr,316.00,560,357,"3,937",28,6,5,39,70,0,0,0,0,0,0,3,0
David Johnson,316.00,0,0,0,0,0,0,293,"1,239",16,0,80,879,4,1,3,0
Blake Bortles,311.00,625,368,"3,905",23,16,1,58,359,3,1,1,20,1,0,6,0
Tom Brady,307.00,432,291,"3,554",28,2,1,28,64,0,0,0,0,0,0,0,0
Ben Roethlisberger,306.00,509,328,"3,819",29,13,3,16,14,1,0,0,0,0,0,2,0
Jameis Winston,305.00,567,345,"4,090",28,18,3,53,165,1,0,0,0,0,0,6,0
Marcus Mariota,304.00,451,276,"3,426",26,9,0,60,349,2,0,0,0,0,0,5,0
Russell Wilson,300.00,546,353,"4,219",21,11,1,72,259,1,0,2,14,1,0,2,0
Carson Palmer,290.00,597,364,"4,233",26,14,1,14,38,0,0,0,0,0,0,4,0
Tyrod Taylor,290.00,436,269,"3,023",17,6,1,95,580,6,1,0,0,0,0,2,0
Andy Dalton,289.00,563,364,"4,206",18,8,0,46,184,4,0,0,0,0,0,3,0
Ezekiel Elliott,281.00,0,0,0,0,0,0,322,"1,631",15,0,32,363,1,0,1,0
Cam Newton,281.00,510,270,"3,509",19,14,1,90,359,5,1,0,0,0,0,2,0
Joe Flacco,274.00,672,436,"4,317",20,15,4,21,58,2,0,0,0,0,0,3,0
Eli Manning,274.00,598,377,"4,027",26,16,0,21,-9,0,0,0,0,0,0,4,0
Sam Bradford,255.00,552,395,"3,877",20,5,0,20,53,0,0,1,5,0,0,5,0
Alex Smith,246.00,489,328,"3,502",15,8,2,48,134,5,0,1,3,0,0,4,0
LeSean McCoy,238.00,0,0,0,0,0,0,234,"1,267",13,1,50,356,1,0,0,0
Carson Wentz,237.00,607,379,"3,782",16,14,1,46,150,2,1,1,7,0,0,3,0
Le'Veon Bell,232.00,1,0,0,0,0,0,261,"1,268",7,0,75,616,2,1,1,0
DeMarco Murray,232.00,2,1,10,1,0,0,293,"1,287",9,0,53,377,3,0,1,0
Colin Kaepernick,226.00,331,196,"2,241",16,4,0,69,468,2,1,0,0,0,0,3,0
Trevor Siemian,223.00,486,289,"3,401",18,10,1,28,57,0,0,0,0,0,0,2,0
Ryan Tannehill,221.00,389,261,"2,995",19,12,1,39,164,1,0,0,0,0,0,3,0
LeGarrette Blount,219.00,0,0,0,0,0,0,299,"1,161",18,0,7,38,0,0,1,0
Devonta Freeman,217.00,0,0,0,0,0,0,227,"1,079",11,0,54,462,2,0,1,0
Melvin Gordon,201.00,0,0,0,0,0,0,254,997,10,0,41,419,2,0,2,0
Jordy Nelson,201.00,0,0,0,0,0,0,0,0,0,0,97,"1,257",14,0,1,0
Mike Evans,200.00,0,0,0,0,0,0,0,0,0,0,96,"1,321",12,2,0,0
Antonio Brown,193.00,0,0,0,0,0,0,3,9,0,0,106,"1,284",12,0,0,0
Jordan Howard,190.00,0,0,0,0,0,0,252,"1,313",6,0,29,298,1,0,1,0
Brock Osweiler,190.00,510,301,"2,957",15,16,0,30,131,2,0,1,-14,0,0,1,0
Odell Beckham Jr.,189.00,0,0,0,0,0,0,1,9,0,0,101,"1,367",10,0,1,0
Mark Ingram,183.00,0,0,0,0,0,0,205,"1,043",6,2,46,319,4,0,2,0
Jay Ajayi,178.00,0,0,0,0,0,0,260,"1,272",8,0,27,151,0,0,1,0
T.Y. Hilton,176.00,0,0,0,0,0,0,0,0,0,0,91,"1,448",6,1,0,0
Julio Jones,170.00,0,0,0,0,0,0,0,0,0,0,83,"1,409",6,0,0,0
Davante Adams,167.00,0,0,0,0,0,0,0,0,0,0,75,997,12,1,1,0
Frank Gore,165.00,0,0,0,0,0,0,263,"1,025",4,0,38,277,4,0,1,0
Latavius Murray,165.00,0,0,0,0,0,0,195,788,12,0,33,264,0,0,1,0
Brandin Cooks,159.00,0,0,0,0,0,0,6,30,0,0,78,"1,173",8,0,0,0
Michael Thomas,159.00,0,0,0,0,0,0,0,0,0,0,92,"1,137",9,0,2,0
Carlos Hyde,157.00,0,0,0,0,0,0,217,988,6,1,27,163,3,0,3,0
Isaiah Crowell,155.00,0,0,0,0,0,0,198,952,7,0,40,319,0,0,2,0
Doug Baldwin,154.00,1,1,15,1,0,0,3,2,0,0,94,"1,128",7,0,0,0
Spencer Ware,150.00,0,0,0,0,0,0,214,921,3,0,33,447,2,0,3,0
Lamar Miller,149.00,0,0,0,0,0,0,268,"1,073",5,0,31,188,1,0,1,0
Tevin Coleman,148.00,0,0,0,0,0,0,118,520,8,0,31,421,3,0,0,0
Ryan Fitzpatrick,147.00,403,228,"2,710",12,17,0,33,130,0,0,0,0,0,0,1,0
Jeremy Hill,147.00,0,0,0,0,0,0,222,839,9,0,21,174,0,0,0,0
Michael Crabtree,144.00,0,0,0,0,0,0,0,0,0,0,89,"1,003",8,1,0,0
Matt Forte,142.00,0,0,0,0,0,0,218,813,7,0,30,263,1,0,1,0
Todd Gurley,142.00,0,0,0,0,0,0,278,885,6,0,43,327,0,0,1,0
Rishard Matthews,142.00,0,0,0,0,0,0,0,0,0,0,65,945,9,0,1,0
Tyrell Williams,142.00,0,0,0,0,0,0,0,0,0,0,69,"1,059",7,0,0,0
Amari Cooper,139.00,0,0,0,0,0,0,1,0,0,0,83,"1,153",5,2,0,0
Travis Kelce,133.00,0,0,0,0,0,0,1,-5,0,0,85,"1,125",4,1,0,0
Larry Fitzgerald,132.00,1,0,0,0,0,0,2,5,0,0,107,"1,023",6,0,1,0
Demaryius Thomas,132.00,0,0,0,0,0,0,0,0,0,0,90,"1,083",5,1,2,0
Jonathan Stewart,131.00,0,0,0,0,0,0,218,824,9,0,8,60,0,0,2,0
Jarvis Landry,130.00,1,0,0,0,0,0,5,17,0,0,94,"1,136",4,1,2,0
Kelvin Benjamin,129.00,0,0,0,0,0,0,0,0,0,0,63,941,7,0,1,0
Dez Bryant,129.00,1,1,10,1,0,0,0,0,0,0,50,796,8,0,1,0
Bilal Powell,129.00,0,0,0,0,0,0,131,722,3,0,58,388,2,0,1,0
Tyreek Hill,127.00,0,0,0,0,0,0,24,267,3,0,61,593,6,0,1,0
Ryan Mathews,127.00,0,0,0,0,0,0,155,661,8,2,13,115,1,0,2,0
Terrelle Pryor,127.00,9,5,41,0,0,0,8,21,1,0,77,"1,007",4,1,0,0
Emmanuel Sanders,125.00,0,0,0,0,0,0,1,4,0,0,79,"1,032",5,0,0,0
Golden Tate,125.00,0,0,0,0,0,0,10,4,0,0,91,"1,077",4,1,1,0
Julian Edelman,124.00,0,0,0,0,0,0,12,57,0,0,98,"1,106",3,1,2,0
Mike Wallace,124.00,0,0,0,0,0,0,5,31,0,0,72,"1,017",4,1,0,0
Terrance West,124.00,0,0,0,0,0,0,193,774,5,0,34,236,1,0,0,0
Kenny Britt,122.00,0,0,0,0,0,0,0,0,0,0,68,"1,002",5,0,1,0
Case Keenum,122.00,322,196,"2,201",9,11,0,20,51,1,0,0,0,0,0,1,0
Greg Olsen,121.00,0,0,0,0,0,0,0,0,0,0,80,"1,073",3,1,0,0
Kenny Stills,121.00,0,0,0,0,0,0,0,0,0,0,42,726,9,0,0,0
Adam Thielen,121.00,0,0,0,0,0,0,2,15,0,0,69,967,5,0,1,0
Jimmy Graham,120.00,0,0,0,0,0,0,1,0,0,0,65,923,6,0,2,0
Kyle Rudolph,120.00,0,0,0,0,0,0,0,0,0,0,83,840,7,0,0,0
DeSean Jackson,118.00,0,0,0,0,0,0,0,0,0,0,56,"1,005",4,0,0,0
Allen Robinson,118.00,0,0,0,0,0,0,0,0,0,0,73,883,6,1,0,0
Jamison Crowder,117.00,0,0,0,0,0,0,2,-2,0,0,67,847,7,0,1,0
Delanie Walker,117.00,0,0,0,0,0,0,2,11,0,0,65,800,7,0,0,0
A.J. Green,116.00,0,0,0,0,0,0,0,0,0,0,66,964,4,0,0,0
Brandon LaFell,115.00,0,0,0,0,0,0,1,-2,0,0,64,862,6,0,0,0
Sterling Shepard,114.00,0,0,0,0,0,0,3,31,0,0,65,683,8,0,0,0
Willie Snead,114.00,1,1,50,1,0,0,0,0,0,0,72,895,4,0,0,0
Pierre Garcon,113.00,0,0,0,0,0,0,0,0,0,0,79,"1,041",3,0,0,0
DeAndre Hopkins,112.00,0,0,0,0,0,0,0,0,0,0,78,954,4,0,0,0
Mike Gillislee,111.00,0,0,0,0,0,0,101,577,8,0,9,50,1,0,0,0
Cameron Meredith,111.00,1,1,2,1,0,0,1,6,0,0,66,888,4,0,2,0
Marvin Jones,110.00,0,0,0,0,0,0,1,3,0,0,55,930,4,0,0,0
