,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Lamar Jackson,474.00,401,265,"3,127",36,6,0,176,"1,206",7,0,0,0,0,0,2,0
Dak Prescott,385.00,596,388,"4,902",30,11,1,52,277,3,0,0,0,0,0,2,0
Russell Wilson,379.00,516,341,"4,110",31,5,1,75,342,3,0,0,0,0,0,2,0
Jameis Winston,365.00,626,380,"5,109",33,30,2,59,250,1,2,0,0,0,0,5,0
Deshaun Watson,363.00,495,333,"3,852",26,12,1,82,413,7,0,1,6,1,0,3,0
Christian McCaffrey,340.00,2,0,0,0,0,0,287,"1,387",15,1,116,"1,005",4,0,0,0
Patrick Mahomes,329.00,484,319,"4,031",26,5,1,43,218,2,0,0,0,0,0,2,0
Aaron Rodgers,322.00,569,353,"4,002",26,4,2,46,183,1,1,0,0,0,0,4,0
Carson Wentz,322.00,607,388,"4,039",27,7,2,62,243,1,0,0,0,0,0,7,0
Josh Allen,318.00,461,271,"3,089",20,9,2,109,510,9,1,0,0,0,0,4,0
Kyler Murray,311.00,542,349,"3,722",20,12,3,93,544,4,0,0,0,0,0,2,0
Matt Ryan,311.00,616,408,"4,466",26,14,1,34,147,1,0,0,0,0,0,5,0
Tom Brady,304.00,613,373,"4,057",24,8,1,26,34,3,0,0,0,0,0,1,0
Jimmy Garoppolo,294.00,476,329,"3,978",27,13,2,46,62,1,0,0,0,0,0,5,0
Kirk Cousins,288.00,444,307,"3,603",26,6,1,31,63,1,0,0,0,0,0,3,0
Jared Goff,284.00,626,394,"4,638",22,16,0,33,40,2,0,0,0,0,0,5,0
Derek Carr,276.00,513,361,"4,054",21,8,0,27,82,2,0,0,0,0,0,3,0
Philip Rivers,276.00,591,390,"4,615",23,20,1,12,29,0,0,0,0,0,0,3,0
Drew Brees,274.00,378,281,"2,979",27,4,0,9,-4,1,0,0,0,0,0,0,0
Ryan Fitzpatrick,269.00,502,311,"3,529",20,13,1,54,243,4,0,0,0,0,0,2,0
Derrick Henry,266.00,0,0,0,0,0,0,303,"1,540",16,0,18,206,2,0,3,0
Gardner Minshew,265.00,470,285,"3,271",21,6,3,67,344,0,0,0,0,0,0,7,0
Daniel Jones,263.00,459,284,"3,027",24,12,2,45,279,2,0,0,0,0,0,11,0
Baker Mayfield,262.00,534,317,"3,827",22,21,1,28,141,3,0,0,0,0,0,2,0
Ryan Tannehill,261.00,286,201,"2,742",22,6,0,43,185,4,1,0,0,0,0,3,0
Aaron Jones,255.00,0,0,0,0,0,0,236,"1,084",16,0,49,474,3,0,2,0
Ezekiel Elliott,246.00,0,0,0,0,0,0,301,"1,357",12,0,54,420,2,0,2,0
Jacoby Brissett,243.00,447,272,"2,942",18,6,1,56,228,4,0,1,2,0,0,5,0
Andy Dalton,231.00,528,314,"3,494",16,14,1,32,73,4,1,1,-4,0,0,4,0
Dalvin Cook,229.00,0,0,0,0,0,0,250,"1,135",13,0,53,519,0,0,2,0
Mitchell Trubisky,228.00,516,326,"3,138",17,10,1,48,193,2,0,0,0,0,0,2,0
Sam Darnold,221.00,441,273,"3,024",19,13,3,33,62,2,0,0,0,0,0,3,0
Michael Thomas,219.00,0,0,0,0,0,0,1,-9,0,0,149,"1,725",9,0,0,0
Kyle Allen,211.00,489,303,"3,322",17,16,0,32,106,2,0,0,0,0,0,7,0
Nick Chubb,209.00,0,0,0,0,0,0,298,"1,494",8,0,36,278,0,0,3,0
Mark Ingram,206.00,0,0,0,0,0,0,202,"1,018",10,2,26,247,5,0,2,0
Austin Ekeler,203.00,0,0,0,0,0,0,132,557,3,0,92,993,8,0,2,0
Matthew Stafford,201.00,291,187,"2,499",19,5,0,20,66,0,0,0,0,0,0,3,0
Chris Carson,188.00,0,0,0,0,0,0,278,"1,230",7,0,37,266,2,0,4,0
Chris Godwin,186.00,0,0,0,0,0,0,1,8,0,0,86,"1,333",9,1,0,0
Saquon Barkley,181.00,0,0,0,0,0,0,217,"1,003",6,0,52,438,2,0,0,0
Todd Gurley,180.00,0,0,0,0,0,0,223,857,12,1,31,207,2,0,2,0
Joe Mixon,179.00,0,0,0,0,0,0,278,"1,137",5,0,35,287,3,0,0,0
Kenny Golladay,177.00,0,0,0,0,0,0,0,0,0,0,65,"1,190",11,0,1,0
Leonard Fournette,173.00,0,0,0,0,0,0,265,"1,152",3,0,76,522,0,0,1,0
Cooper Kupp,171.00,1,0,0,0,0,0,2,4,0,0,94,"1,161",10,0,0,0
Julio Jones,168.00,0,0,0,0,0,0,2,-3,0,0,99,"1,394",6,0,0,0
DeVante Parker,166.00,0,0,0,0,0,0,0,0,0,0,72,"1,202",9,0,0,0
Josh Jacobs,164.00,0,0,0,0,0,0,242,"1,150",7,0,20,166,0,0,1,0
Mike Evans,161.00,0,0,0,0,0,0,0,0,0,0,67,"1,157",8,1,0,0
Amari Cooper,159.00,0,0,0,0,0,0,1,6,0,0,79,"1,189",8,0,0,0
