,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Aaron Rodgers,38.00,44,32,364,4,0,0,1,2,0,0,0,0,0,0,0,0
Russell Wilson,38.00,35,31,322,4,0,0,3,29,0,0,0,0,0,0,0,0
Josh Allen,33.00,46,33,312,2,0,0,14,57,1,0,0,0,0,0,2,0
Lamar Jackson,33.00,25,20,275,3,0,0,7,45,0,0,0,0,0,0,0,0
Josh Jacobs,31.00,0,0,0,0,0,0,25,93,3,0,4,46,0,0,0,0
Mitchell Trubisky,29.00,36,20,242,3,0,0,3,26,0,0,0,0,0,0,0,0
Kyler Murray,28.00,40,26,230,1,1,0,13,91,1,0,0,0,0,0,0,0
Matt Ryan,28.00,54,37,450,2,1,0,1,-1,0,0,0,0,0,0,0,0
Davante Adams,27.00,0,0,0,0,0,0,0,0,0,0,14,156,2,0,0,0
Ben Roethlisberger,27.00,32,21,229,3,0,0,3,9,0,0,0,0,0,0,0,0
Patrick Mahomes,26.00,32,24,211,3,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,25.00,25,19,259,2,1,1,4,34,0,0,0,0,0,0,0,0
Gardner Minshew,25.00,20,19,173,3,0,0,5,19,0,0,0,0,0,0,0,0
Cam Newton,25.00,19,15,155,0,0,0,15,75,2,0,0,0,0,0,0,0
Calvin Ridley,25.00,0,0,0,0,0,0,1,-1,0,0,9,130,2,0,0,0
Adam Thielen,25.00,0,0,0,0,0,0,0,0,0,0,6,110,2,1,0,0
Ezekiel Elliott,24.00,0,0,0,0,0,0,22,96,1,0,3,31,1,0,0,0
Christian McCaffrey,24.00,0,0,0,0,0,0,23,97,2,0,3,38,0,0,0,0
Tom Brady,23.00,36,23,239,2,2,0,3,9,1,0,0,0,0,0,0,0
Malcolm Brown,22.00,0,0,0,0,0,0,18,79,2,0,3,31,0,0,0,0
Jimmy Garoppolo,22.00,33,19,259,2,0,0,1,9,0,0,0,0,0,0,0,0
Darius Slayton,22.00,0,0,0,0,0,0,0,0,0,0,6,102,2,0,0,0
Ryan Tannehill,22.00,43,29,249,2,0,0,3,14,0,0,0,0,0,0,0,0
Deshaun Watson,22.00,32,20,253,1,1,0,6,27,1,0,0,0,0,0,0,0
Dalvin Cook,21.00,0,0,0,0,0,0,12,50,2,2,1,-2,0,0,0,0
Daniel Jones,21.00,41,26,279,2,2,0,4,22,0,0,0,0,0,0,0,0
Teddy Bridgewater,20.00,34,22,269,1,0,1,4,26,0,0,0,0,0,0,0,0
Raheem Mostert,20.00,0,0,0,0,0,0,15,56,0,0,4,95,1,0,0,0
Robby Anderson,19.00,0,0,0,0,0,0,0,0,0,0,6,114,1,1,0,0
Clyde Edwards-Helaire,19.00,0,0,0,0,0,0,25,138,1,0,0,0,0,0,0,0
Dak Prescott,19.00,39,25,266,1,0,0,3,30,0,0,0,0,0,0,0,0
Drew Brees,18.00,30,18,160,2,0,0,2,0,0,0,0,0,0,0,0,0
